通し番号	作業番号	作業ファイル	申込番号	店舗種別	施設名称	施設所在地	施設ホームページURL
46875	412	6	84283538	スナック	のんーnonー	〒577-0058 大阪府 東大阪市 足代北２－１－７	
46910	448	6	88937277	居酒屋	Laughing Owl	〒570-0029 大阪府 守口市来迎町2-9	
46954	492	6	40761360	焼肉	焼肉屋　牛匠	〒542-0073 大阪府 大阪市中央区 日本橋2丁目5番5号	
47195	733	6	33092771	その他	ラムムのケバブ	〒545-0002 大阪府 大阪市阿倍野区 天王寺町南3丁目1番19号	
47233	771	6	45204981	BAR	Wellness Bar 立葵	〒553-0006 大阪府 大阪市福島区 吉野3-7-14	
47249	787	6	66607125	ラーメン	ちゃんぽん亭総本家	〒590-0535 大阪府 泉南市 りんくう南浜3-12 イオンモールりんくう泉南2F フードコート内	
47382	37	7	11488922	カフェ・喫茶店	タイマッサージカフェ２８	〒542-0071 大阪府 大阪市中央区 道頓堀1-1-11　フロントフォースビル東館2F	
47569	224	7	16944057	和食	とり料理まつもと	〒530-0047 大阪府 大阪市北区 西天満2-10-10ACN西天満ﾋﾞﾙ1階	
47605	260	7	22062833	カレー屋	Izumi Noodle	〒550-0023 大阪府 大阪市西区 千代崎2-9-2	
47806	461	7	26285298	カフェ・喫茶店	珈琲丸	〒577-0057 大阪府 東大阪市 足代新町4-12リアライズ布施ビル2階東側	
48017	672	7	77301624	スナック	K（キング）	〒578-0924 大阪府 東大阪市 吉田７丁目１番１２号パル東花園B１	
48101	756	7	93832799	カフェ・喫茶店	CAFE M	〒573-0076 大阪府 枚方市 東香里元町11-46	
48350	121	8	37514288	BAR	Barlounge  NARUMI	〒530-0003 大阪府 大阪市北区 堂島1丁目3番24号エスパス北新地20  4階B	
48407	178	8	99819618	中華料理	創作中華料理　江南灶 	〒542-0073大阪府 大阪市中央区 日本橋１丁目１０−１２　２F 	
48460	231	8	53250575	その他	COTOLIBA天美	〒580-0032 大阪府 松原市 天美東３丁目５００番地 セブンパーク天美	
